program,university
Geography & Urban Studies (BA),York University
Global Health (BA),York University
Global Health (BSc),York University
Global Political Studies (BA),York University
Health & Society (BA),York University
Health Studies (BHS),York University
"History (BA, iBA)",York University
"Honours Integrated Science (BSc, first year only)",York University
"Humanities (BA, iBA)",York University
Human Resources Management (BHRM),York University
Human Rights & Equity Studies (BA),York University
Indigenous Studies (BA),York University
Information Technology (BA),York University
Information Technology (BCom),York University
Interdisciplinary Social Science (BA),York University
Intermedia,York University
International Business Administration (iBBA),York University
International Development (Joint BES/Post-Diploma Certificate program in International Development with Humber College),York University
International Development Studies (BA),York University
Jewish Studies (BA),York University
"Kinesiology & Health Science (BA, BSc)",York University
Languages & Linguistics (BA),York University
Law & Society (BA),York University
Mathematical Biology (BSc),York University
"Mathematics (BA, BSc)",York University
Mathematics for Education (BA),York University
Mathematics for Education (BSc),York University
Media Arts (BFA),York University
"Music (BA, BFA)",York University
Nursing (Collaborative BScN program with Georgian College),York University
Nursing (Collaborative BScN program with Seneca College),York University
Philosophy (BA),York University
Physics & Astronomy (BSc),York University
"Political Science (BA, iBA)",York University
Professional Writing (BA),York University
Psychology (BA),York University
Psychology (BSc),York University
Public Administration (BPA),York University
Religious Studies (BA),York University
Science & Technology Studies (BA),York University
Science & Technology Studies (BSc),York University
Screenwriting (BFA),York University
"Sexuality Studies (BA, iBA)",York University
"Social Work (BSW, Direct Entry)",York University
Sociology (BA),York University
Statistics (BA),York University
Statistics (BSc),York University
Studio Art (BFA),York University
"Theatre (BA, BFA)",York University
"Undecided Major (BSc, first year only)",York University
"Undeclared Major (BA, first year only)",York University
"Urban Studies (BA, iBA)",York University
Urban Sustainability (Joint BES/Advanced Diploma program in Civil Engineering Technology with Seneca College),York University
Work & Labour Studies (BA),York University
Biology (BSc),York University – Glendon Campus
Business Economics,York University – Glendon Campus
Canadian Studies,York University – Glendon Campus
Communications,York University – Glendon Campus
Concurrent Bachelor of Education (English),York University – Glendon Campus
Concurrent Bachelor of Education (French),York University – Glendon Campus
Drama Studies,York University – Glendon Campus
Economics,York University – Glendon Campus
English Studies,York University – Glendon Campus
French Studies,York University – Glendon Campus
Gender & Women's Studies,York University – Glendon Campus
History,York University – Glendon Campus
International BA (iBA Bilingual),York University – Glendon Campus
International BSc (iBSc Bilingual: Psychology or Biology),York University – Glendon Campus
International Studies,York University – Glendon Campus
International Studies & Business Administration (Dual Degree),York University – Glendon Campus
Linguistics and Language Studies,York University – Glendon Campus
Mathematics,York University – Glendon Campus
Philosophy,York University – Glendon Campus
Political Science,York University – Glendon Campus
Psychology (BA),York University – Glendon Campus
Psychology (BSc),York University – Glendon Campus
Sexuality Studies,York University – Glendon Campus
Sociology,York University – Glendon Campus
Spanish (Hispanic Studies),York University – Glendon Campus
Undecided Major (First year only),York University – Glendon Campus
